Date stamp;Measurement1;Measurement2;Measurement3;Measurement4;Measurement5
16.11.2025 8:02;9,26;9,28;9,22;9,19;9,2
16.11.2025 8:25;9,27;9,36;9,23;9,3;9,25
16.11.2025 8:48;9,23;9,26;9,24;9,3;9,32
16.11.2025 9:13;9,17;9,23;9,31;9,17;9,3
16.11.2025 9:37;9,27;9,29;9,19;9,19;9,21
16.11.2025 10:01;9,19;9,16;9,22;9,25;9,18
16.11.2025 10:24;9,21;9,26;9,24;9,32;9,29
16.11.2025 10:49;9,28;9,22;9,26;9,32;9,27
16.11.2025 11:13;9,16;9,26;9,32;9,26;9,09
16.11.2025 11:36;9,28;9,2;9,2;9,21;9,32
16.11.2025 11:58;9,34;9,3;9,27;9,33;9,31
16.11.2025 12:21;9,23;9,23;9,25;9,18;9,26
16.11.2025 12:46;9,19;9,22;9,26;9,3;9,32
16.11.2025 13:12;9,16;9,3;9,29;9,27;9,15
16.11.2025 13:35;9,15;9,34;9,33;9,27;9,26
16.11.2025 14:01;9,15;9,37;9,26;9,29;9,18
16.11.2025 14:25;9,32;9,33;9,34;9,26;9,26
16.11.2025 14:50;9,2;9,16;9,19;9,25;9,13
16.11.2025 15:14;9,23;9,24;9,27;9,38;9,19
16.11.2025 15:38;9,2;9,28;9,33;9,27;9,23
16.11.2025 16:04;9,09;9,21;9,15;9,19;9,21
16.11.2025 16:26;9,21;9,23;9,3;9,23;9,23
16.11.2025 16:51;9,3;9,34;9,28;9,35;9,31
16.11.2025 17:14;9,33;9,2;9,33;9,16;9,27
16.11.2025 17:40;9,27;9,26;9,23;9,18;9,13
